rank,user_id,num_tests,action_history_length,time_per_test_seconds,total_test_time_seconds,exploration_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
1,66444fab51653be6d035845e,6,16,"[15.706, 6.226, 3.113, 4.83, 4.546, 7.927]",42.348,42.347,142.582,"[2, 3]","[2, 3]",True,Using 2 objects.,conjunctive,conjunctive,True
2,6307bd3bb93e804d22332b3e,7,19,"[4.704, 3.176, 1.103, 4.263, 3.668, 2.777, 7.326]",27.017,27.017,344.895,"[1, 3]","[1, 3]",True,2 and 4 need to be active at the same time,conjunctive,conjunctive,True
3,6637f53e203e2f5f706d70ec,8,28,"[13.136, 12.057, 3.866, 4.638, 12.38, 5.242, 9.013, 4.877]",65.209,65.209,129.317,"[1, 3]","[1, 3]",True,Both object 2 and object 4 must be on the machine to turn it on.  They cannot by theirsevles.,conjunctive,conjunctive,True
4,6676ddf4aeae188a30f824f5,8,18,"[4.056, 8.009, 2.913, 2.168, 3.8, 2.541, 4.405, 5.133]",33.025,33.025,106.684,"[1, 3]","[1, 3]",True,I think objects 2 and 4 must be active to turn the machine on.,conjunctive,conjunctive,True
5,66de20cd48ec5f6eed0efb42,8,26,"[8.11, 8.006, 6.002, 14.52, 6.234, 2.242, 21.172, 6.045]",72.331,72.333,142.08,"[0, 1]","[0, 1]",True,Both Object 1 and 2 have to be on to turn the machine on.,conjunctive,conjunctive,True
6,62a779f845a7840040d41bf8,8,28,"[4.181, 7.471, 3.782, 4.314, 3.443, 8.563, 5.431, 5.567]",42.752,42.752,152.389,"[1, 3]","[1, 3]",True,Object 2 and Object 4 need to both be on the machine in order for the Nexiom machine to turn on.  It does not work with Objects 1 and 3.,conjunctive,conjunctive,True
7,60bea43aa26919517334ed4a,8,29,"[6.447, 7.651, 9.772, 3.791, 15.154, 18.28, 8.149, 13.563]",82.807,82.806,225.095,"[1, 3]","[1, 3]",True,2 and 4 are nexioms but both must be on the machine to power it. Excess objects can also be on the platform.,conjunctive,conjunctive,True
8,62740f4f578f0114e649016d,8,30,"[8.723, 6.802, 8.375, 7.581, 3.573, 3.701, 4.696, 6.199]",49.65,49.649,113.969,"[1, 2]","[1, 2]",True,"This seems to require both Object 2 and Object 3 at the same time to turn on, indicating that together they are a Nexiom, or perhaps they are each Nexioms.",conjunctive,conjunctive,True
9,5dac4dad5e53cc001499f1f6,8,24,"[10.939, 8.871, 6.353, 4.366, 6.288, 11.516, 11.398, 6.749]",66.48,66.479,175.029,"[2, 3]","[2, 3]",True,Both C and D must be added to turn machine on. Adding A and B is allowed but only with both C and D placed,conjunctive,conjunctive,True
10,60db3cf3270edd7c9c7e0bd3,9,32,"[8.346, 7.236, 18.568, 7.44, 8.204, 22.533, 6.413, 5.711, 5.646]",90.097,90.097,175.42,"[0, 3]","[0, 3]",True,I think object 1 and 4 are both half Nexioms and they both have to be active on the table for the machine to turn on.,conjunctive,conjunctive,True
11,66df530525ff636218e380bf,9,29,"[9.681, 10.149, 12.14, 8.257, 8.573, 5.244, 4.211, 6.984, 6.973]",72.212,72.211,152.249,"[0, 3]","[0, 3]",True,This was the only combination that would turn it on while using minimal pieces.,conjunctive,conjunctive,True
12,5c50046b2b89f500015e5f6b,9,25,"[6.795, 10.12, 6.753, 8.131, 65.333, 2.153, 3.233, 2.588, 2.725]",107.831,107.831,150.861,"[0, 1]","[0, 1]",True,Both Object 1 and 2 must be on to turn on this Nexiom machine,conjunctive,conjunctive,True
13,65e8d07f6dee8323f49a2b5b,9,33,"[8.398, 6.419, 3.477, 3.758, 3.534, 17.825, 9.304, 8.303, 10.458]",71.476,71.476,178.966,"[0, 3]","[0, 3]",True,"If object 1 and object 4 are placed on the machine, then it will turn on.",conjunctive,conjunctive,True
14,6655fd511b6c8d1fd05de12d,9,43,"[23.497, 8.492, 5.354, 10.986, 7.71, 41.46, 32.609, 47.156, 11.398]",188.662,188.661,285.215,"[1, 3]","[1, 3]",True,"When Object 2 and 4 are used together, this causes the object to to turn on the machine.",conjunctive,conjunctive,True
15,610825355ae77bd1867d118e,10,28,"[5.33, 5.352, 3.883, 3.459, 3.635, 4.633, 4.431, 5.511, 3.325, 5.44]",44.999,44.999,166.772,"[1, 2]","[1, 2]",True,"Object 2 and 3 need to be placed on the machine together. If they are placed on the machine separately, then it will not turn on.",conjunctive,conjunctive,True
16,5e3f778e91be661ca60e3540,10,28,"[6.29, 23.034, 6.721, 21.446, 8.354, 21.104, 9.059, 5.126, 5.614, 6.775]",113.523,113.523,245.082,"[1, 3]","[1, 3]",True,When Object 2 is paired with Object 4  the machine activates,conjunctive,conjunctive,True
17,63fcf26a814570a76bcf2237,11,26,"[8.078, 3.466, 5.604, 3.079, 3.509, 4.018, 4.082, 3.316, 5.665, 10.091, 5.622]",56.53,56.531,162.982,"[1, 3]","[1, 3]",True,After testing the machines all together and independently it appears to me that there are two Nexioms required to turn the machine on.,conjunctive,conjunctive,True
18,66464711c6986686ce7a99ec,11,31,"[22.689, 13.655, 4.008, 5.478, 4.287, 6.386, 6.705, 6.089, 11.464, 15.018, 6.77]",102.549,102.548,162.897,"[1, 3]","[1, 3]",True,Objects 2 and 4 both have to be on the machine,conjunctive,conjunctive,True
19,6722cf4c8679d8fe777e4364,11,27,"[5.968, 8.074, 10.096, 4.021, 5.581, 3.606, 3.008, 10.216, 4.494, 3.873, 4.285]",63.222,63.221,119.736,"[0, 1]","[0, 1]",True,Objects 1 and 2 must both be on to turn on this Nexiom machine.,conjunctive,conjunctive,True
20,663911a7d0a58901bbe17704,12,37,"[10.818, 6.791, 3.833, 3.52, 5.439, 5.95, 6.894, 4.708, 4.561, 4.543, 8.726, 5.706]",71.489,71.488,129.986,"[2, 3]","[2, 3]",True,both 3 and 4 need to be on the others do not matter,conjunctive,conjunctive,True
21,66e641a57e7f41866f9e705f,12,34,"[9.08, 8.345, 5.572, 4.673, 8.374, 19.153, 4.66, 6.655, 7.502, 5.687, 8.686, 3.177]",91.564,91.563,223.623,"[1, 3]","[1, 3]",True,"To be honest, it seems a little unclear to me. I know that 2 and 4 together turns it on, but separately they don't. I don't understand how that it is the case, but it's what I observed.",conjunctive,conjunctive,True
22,5c04872c55614800012b7cf0,13,43,"[3.929, 4.167, 5.082, 5.627, 6.897, 4.762, 4.394, 8.677, 5.122, 7.254, 9.503, 17.901, 7.422]",90.737,90.736,225.876,"[1, 3]","[1, 3]",True,"Two and Four are needed to turn on the machine. You can have 1 and 3 on, but they don't matter. It's just two and four that both need to be on.",conjunctive,conjunctive,True
23,58d834cec207720001e2e750,13,56,"[114.305, 1.77, 3.137, 2.31, 2.47, 3.805, 15.551, 8.851, 6.747, 9.096, 17.195, 3.363, 4.034]",192.634,192.636,277.023,"[0, 2]","[0, 2]",True,"the nexiom machine only switches on when all nexioms are in the machine which is why it only turns on when 1 and 3 are both on the platform, but not when only of them is on",conjunctive,conjunctive,True
24,669acab688899abf41e03bb5,14,51,"[11.681, 14.842, 14.317, 10.226, 8.64, 12.013, 16.185, 14.883, 28.759, 11.064, 16.906, 29.264, 13.384, 74.24]",276.404,276.404,401.931,"[0, 3]","[0, 3]",True,Both 1 and 4 on the platform,conjunctive,conjunctive,True
25,650a6d03acf66d20e752b42c,14,58,"[8.452, 6.007, 7.722, 4.925, 6.125, 6.272, 15.045, 7.676, 8.415, 14.512, 10.076, 14.752, 17.043, 11.214]",138.236,138.235,248.156,"[1, 3]","[1, 3]",True,Both Object 2 and Object 4 have to be on the platform together at the same time to turn on this Nexiom machine.,conjunctive,conjunctive,True
26,661a38cd3b483dbdaafbf325,14,40,"[7.934, 16.06, 8.952, 4.346, 46.223, 30.946, 3.943, 13.318, 16.374, 15.14, 12.27, 5.543, 7.527, 9.271]",197.847,197.847,390.27,"[0, 1]","[0, 1]",True,It only turns on with objects 1 and 2 used together.,conjunctive,conjunctive,True
27,6636e5ffb1e341fa2390a2c0,14,48,"[8.422, 5.911, 12.15, 8.167, 3.62, 20.302, 3.625, 3.023, 2.852, 16.546, 6.139, 18.864, 19.192, 3.758]",132.571,132.572,198.754,"[2, 3]","[2, 3]",True,object 3 and 4 must be on the platform together,conjunctive,conjunctive,True
28,6154973c69da7c97996a19f6,15,47,"[4.178, 8.183, 3.626, 3.563, 5.716, 4.09, 6.252, 9.045, 4.871, 28.077, 4.506, 29.3, 15.646, 27.746, 10.488]",165.287,165.288,348.208,"[1, 3]","[1, 3]",True,"I think that as long as 2 and 4 are both selected, the machine will turn on.",conjunctive,conjunctive,True
29,60b788ecd24b27bb39298936,15,54,"[18.736, 7.23, 4.696, 5.112, 13.269, 4.587, 4.549, 7.454, 3.344, 5.393, 9.578, 4.533, 5.277, 10.305, 8]",112.063,112.063,167.515,"[2, 3]","[2, 3]",True,"Objects 3 and 4 must be on the platform to turn on the machine. Objects 1 or 2 can be on or off, it is irrelevant.",conjunctive,conjunctive,True
30,558955ebfdf99b6bd06016c9,15,59,"[5.849, 5.83, 8.222, 7.596, 20.509, 5.761, 16.701, 5.27, 9.616, 4.127, 5.799, 9.452, 3.626, 4.167, 3.308]",115.833,115.832,239.436,"[1, 3]","[1, 3]",True,The machine turns on if both object 2 and object 4 are on the platform.,conjunctive,conjunctive,True
31,654e6dcbb060f1ea2d712339,16,62,"[25.536, 6.078, 3.895, 4.382, 50.294, 7.31, 8.386, 8.32, 10.385, 6.377, 15.151, 8.725, 6.219, 4.651, 17.473, 4.644]",187.826,187.824,404.488,"[0, 2]","[0, 2]",True,"The machine only turns on when both objects 1 and 3 are on the machine. If either one or both are not on the machine, it will not turn on.",conjunctive,conjunctive,True
32,67005512302c242e2c34d34d,16,65,"[6.299, 5.171, 2.859, 2.641, 6.047, 4.75, 4.355, 4.619, 3.623, 5.197, 2.902, 11.875, 5.911, 24.106, 10.543, 9.234]",110.132,110.132,242.123,"[0, 3]","[0, 3]",True,At least Object 1 and Object 4 have to be on the machine platform to turn it on. Other objects on the platform have no additional effect.,conjunctive,conjunctive,True
33,66ac6629c0da194f918ca3fb,16,54,"[4.364, 5.135, 4.372, 4.184, 5.232, 3.16, 4.293, 8.305, 4.629, 4.931, 5.586, 7.812, 8.641, 4.107, 6.833, 14.423]",96.007,96.008,181.799,"[0, 1]","[0, 1]",True,"The machine only turns on when both Object 1 and Object 2 are placed on the platform, and all other objects are irrelevant.",conjunctive,conjunctive,True
34,62eab7b53494af2a6cb73504,16,67,"[32.376, 3.534, 3.544, 3.532, 6.172, 10.107, 6.657, 8.807, 7.713, 6.576, 8.443, 5.653, 7.243, 11.256, 7.155, 2.921]",131.689,131.688,408.775,"[1, 2]","[1, 2]",True,"I think the rule is any combination of 2 and 3 will turn the machine on.  Both 2 and 3 need to be together to make the machine work, 1 and 4 can be added but aren't necessary.",conjunctive,conjunctive,True
