participant_id,true_rule,chosen_rule,true_blicket_objects,chosen_objects,num_unique_tests,info_gain_per_test,avg_response_time,num_tests_before_qa,action_history_length
558955ebfdf99b6bd06016c9,conjunctive,conjunctive,"[1, 3]","[1, 3]",15,"[0.32192809488736235, 0.41503749927884376, 0.16992500144231237, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.722,15,59
56e32190e414dc000c8b40ae,disjunctive,disjunctive,"[1, 2]","[1, 2]",7,"[0.32192809488736235, 1.584962500721156, 0.0, 1.0, 1.0, 0.0, 0.0]",12.136,7,23
58380cb9f1faf8000129673a,disjunctive,disjunctive,"[0, 1]","[0, 1]",10,"[0.32192809488736235, 0.2630344058337938, 0.15200309344505006, 0.16992500144231237, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0]",13.426,10,37
589f4b4b4d580c0001e0a155,disjunctive,disjunctive,"[0, 2]","[0, 2]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",6.04,4,12
58d834cec207720001e2e750,conjunctive,conjunctive,"[0, 2]","[0, 2]",13,"[0.09953567355091437, 0.22239242133644802, 0.0, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 3.169925001442312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14.818,13,56
594a969df0ea1b0001558178,conjunctive,disjunctive,"[1, 2]","[0, 1, 2, 3]",9,"[0.32192809488736235, 0.41503749927884376, 0.0, 1.584962500721156, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.647,12,34
5bdc6d16d9bc4e0001134779,disjunctive,disjunctive,"[0, 1]","[0, 1]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",5.306,4,11
5c04872c55614800012b7cf0,conjunctive,conjunctive,"[1, 3]","[1, 3]",12,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.0, 1.4594316186372973, 0.41503749927884376, 1.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0]",6.98,13,43
5c3bdbf548ad2900017fac31,conjunctive,disjunctive,"[0, 3]",[],4,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882]",6.02,4,13
5c452213a6c3df0001d2014f,disjunctive,disjunctive,"[0, 1]","[0, 1]",6,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",6.236,8,26
5c50046b2b89f500015e5f6b,conjunctive,conjunctive,"[0, 1]","[0, 1]",9,"[2.321928094887362, 0.5849625007211562, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11.981,9,25
5d439cb393066e001a5a4d26,disjunctive,disjunctive,"[2, 3]","[2, 3]",6,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 1.0, 0.0, 0.0]",25.637,6,19
5dac4dad5e53cc001499f1f6,conjunctive,conjunctive,"[2, 3]","[2, 3]",7,"[0.32192809488736235, 2.0, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0, 0.0]",8.31,8,24
5e3b759740e302397f294a2d,disjunctive,disjunctive,"[0, 3]","[0, 3]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",6.92,4,14
5e3f778e91be661ca60e3540,conjunctive,conjunctive,"[1, 3]","[1, 3]",10,"[0.09953567355091437, 0.3479233034203068, 0.13750352374993502, 0.15200309344505006, 0.0, 0.5849625007211562, 1.0, 0.5849625007211562, 1.0, 0.0]",11.352,10,28
5e63e793e50a6316a75213c4,conjunctive,conjunctive,"[1, 2]","[0, 1, 2, 3]",15,"[0.09953567355091437, 0.22239242133644802, 1.584962500721156, 0.41503749927884376, 0.0, 1.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11.144,16,48
5e92917cb554e90d387a37da,disjunctive,disjunctive,"[1, 2]","[1, 2]",5,"[1.0995356735509143, 0.22239242133644802, 0.2630344058337938, 0.32192809488736235, 2.0]",4.434,5,17
5ecb0bb39b4189656f60872b,disjunctive,disjunctive,"[0, 1]","[0, 1]",5,"[0.32192809488736235, 0.5849625007211562, 0.41503749927884376, 2.584962500721156, 0.0]",5.322,5,16
5f76586f6ce6850f223a25ab,disjunctive,disjunctive,"[2, 3]","[2, 3]",4,"[2.321928094887362, 0.0, 0.5849625007211562, 1.0]",5.65,4,14
5fa9dab94f9d9c26d3db5226,disjunctive,disjunctive,"[1, 3]","[1, 3]",4,"[0.32192809488736235, 2.0, 0.5849625007211562, 1.0]",15.593,4,15
6070fa4b22640f1d2b78c5a7,conjunctive,conjunctive,"[1, 2]",[],2,"[0.32192809488736235, 0.41503749927884376]",4.858,2,10
609916ce82bc0800c9196cde,disjunctive,disjunctive,"[0, 2]","[0, 2]",6,"[0.32192809488736235, 0.41503749927884376, 0.16992500144231237, 3.0, 0.0, 0.0]",9.132,6,23
60a1e1f4a3707c983a98f185,disjunctive,disjunctive,"[1, 3]","[1, 3]",7,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.238,16,53
60b788ecd24b27bb39298936,conjunctive,conjunctive,"[2, 3]","[2, 3]",15,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 0.16992500144231237, 0.19264507794239583, 0.22239242133644802, 2.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0]",7.471,15,54
60bea43aa26919517334ed4a,conjunctive,conjunctive,"[1, 3]","[1, 3]",7,"[0.32192809488736235, 0.12553088208385882, 0.13750352374993502, 3.321928094887362, 0.0, 0.0, 0.0, 0.0]",10.351,8,29
60db3cf3270edd7c9c7e0bd3,conjunctive,conjunctive,"[0, 3]","[0, 3]",8,"[0.32192809488736235, 0.41503749927884376, 3.169925001442312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10.011,9,32
60fcc292d13ae9614d4a77a7,disjunctive,disjunctive,"[1, 3]","[1, 3]",5,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0, 0.0]",6.131,5,15
60fd05fdd8f4081c41972a1b,disjunctive,disjunctive,"[0, 3]","[0, 3]",6,"[0.32192809488736235, 0.5849625007211562, 0.41503749927884376, 1.584962500721156, 1.0, 0.0]",9.75,6,18
60fda57e0916dfe2157c9b00,conjunctive,conjunctive,"[2, 3]",[2],12,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.014,16,55
60ff33eea57872b7188f12e2,disjunctive,disjunctive,"[0, 2]","[0, 2]",6,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0, 0.0]",5.924,6,20
6100b6365a3b961d941f7071,conjunctive,conjunctive,"[1, 2]",[],5,"[0.32192809488736235, 0.12553088208385882, 0.13750352374993502, 0.0, 0.0]",9.001,5,17
610329975d39376c37360d3c,disjunctive,disjunctive,"[1, 3]","[1, 3]",6,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0, 0.0, 0.0]",4.471,6,22
610825355ae77bd1867d118e,conjunctive,conjunctive,"[1, 2]","[1, 2]",10,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 0.16992500144231237, 0.19264507794239583, 0.22239242133644802, 2.584962500721156]",4.5,10,28
610863156133d1485b80d389,disjunctive,disjunctive,"[0, 1]",[0],5,"[0.0, 0.09953567355091437, 2.807354922057604, 0.0, 0.0]",4.568,5,14
611098e0196fa40fa49f3aeb,disjunctive,disjunctive,"[0, 3]","[0, 3]",12,"[0.32192809488736235, 0.41503749927884376, 1.584962500721156, 1.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10.172,12,40
6122548871de12f3a454e5cb,disjunctive,disjunctive,"[2, 3]","[2, 3]",4,"[2.321928094887362, 0.0, 0.5849625007211562, 1.0]",4.236,4,14
61522983a596d0aa25117787,disjunctive,disjunctive,"[2, 3]","[2, 3]",5,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 1.0, 0.0]",7.069,5,13
6154973c69da7c97996a19f6,conjunctive,conjunctive,"[1, 3]","[1, 3]",15,"[0.32192809488736235, 2.0, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11.019,15,47
6234e9c483c8aa1f1c5f046a,disjunctive,disjunctive,"[0, 3]","[0, 3]",6,"[0.32192809488736235, 0.5849625007211562, 1.0, 1.0, 1.0, 0.0]",6.846,6,16
62740f4f578f0114e649016d,conjunctive,conjunctive,"[1, 2]","[1, 2]",5,"[0.32192809488736235, 0.41503749927884376, 3.169925001442312, 0.0, 0.0, 0.0, 0.0, 0.0]",6.206,8,30
628eab48a8c8dc1ecec338dd,disjunctive,disjunctive,"[0, 1]","[0, 1]",6,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",8.707,7,18
62a0b34cbcc5987a8fa73c39,conjunctive,conjunctive,"[1, 3]",[3],2,"[0.32192809488736235, 0.12553088208385882]",5.577,2,7
62a779f845a7840040d41bf8,conjunctive,conjunctive,"[1, 3]","[1, 3]",8,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0, 0.0, 0.0]",5.344,8,28
62e42aaad0079d2ff8e97597,disjunctive,disjunctive,"[0, 2]","[0, 2]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",5.788,4,12
62eab7b53494af2a6cb73504,conjunctive,conjunctive,"[1, 2]","[1, 2]",13,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 0.16992500144231237, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.231,16,67
6307bd3bb93e804d22332b3e,conjunctive,conjunctive,"[1, 3]","[1, 3]",6,"[0.09953567355091437, 0.10691520391651188, 0.0, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0]",3.86,7,19
63614a372fef8174fe8363f1,disjunctive,disjunctive,"[2, 3]","[2, 3]",5,"[0.32192809488736235, 0.5849625007211562, 0.41503749927884376, 1.584962500721156, 1.0]",6.526,5,15
63b6ef9027eb90f292852ee4,disjunctive,disjunctive,"[0, 2]","[0, 2]",7,"[0.32192809488736235, 0.41503749927884376, 1.584962500721156, 1.584962500721156, 0.0, 0.0, 0.0]",9.437,7,23
63b6ffb02943686f4f354741,disjunctive,disjunctive,"[0, 2]","[0, 2]",11,"[0.0, 0.09953567355091437, 0.22239242133644802, 0.5849625007211562, 0.19264507794239583, 0.22239242133644802, 1.584962500721156, 0.0, 0.0, 0.0, 1.0, 0.0]",6.444,12,40
63fcf26a814570a76bcf2237,conjunctive,conjunctive,"[1, 3]","[1, 3]",8,"[0.9068905956085185, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.139,11,26
6452945d35a44481f5757a6c,disjunctive,disjunctive,"[0, 2]","[0, 2]",6,"[0.32192809488736235, 0.5849625007211562, 2.0, 1.0, 0.0, 0.0]",9.246,6,17
6473bd2d95a488b826bc24c4,disjunctive,disjunctive,"[2, 3]","[2, 3]",3,"[2.321928094887362, 0.5849625007211562, 1.0, 0.0]",4.167,4,12
65006ac193352f62ba59a095,disjunctive,disjunctive,"[0, 1]","[0, 1]",4,"[0.32192809488736235, 2.0, 0.5849625007211562, 1.0]",11.793,4,16
650a6d03acf66d20e752b42c,conjunctive,conjunctive,"[1, 3]","[1, 3]",13,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 0.0, 0.16992500144231237, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.874,14,58
654e6dcbb060f1ea2d712339,conjunctive,conjunctive,"[0, 2]","[0, 2]",14,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 0.16992500144231237, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11.739,16,62
655fd05c12d38751dfa91559,disjunctive,disjunctive,"[2, 3]","[2, 3]",10,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.233,11,39
65cbe16e047f780198657d96,conjunctive,disjunctive,"[1, 2]","[1, 2]",10,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.5145731728297582, 0.0, 1.222392421336448, 0.5849625007211562, 1.0]",6.782,10,24
65da5ea53cf757c346ee5b18,disjunctive,disjunctive,"[1, 2]","[1, 2]",7,"[0.09953567355091437, 0.22239242133644802, 1.584962500721156, 0.41503749927884376, 0.0, 1.584962500721156, 0.0]",11.802,7,29
65e8d07f6dee8323f49a2b5b,conjunctive,conjunctive,"[0, 3]","[0, 3]",9,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0, 0.0, 0.0, 0.0]",7.942,9,33
6618650ff8e368f495675c9f,disjunctive,disjunctive,"[1, 3]","[1, 3]",11,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.339,11,36
661a38cd3b483dbdaafbf325,conjunctive,conjunctive,"[0, 1]","[0, 1]",14,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14.132,14,40
662f98ee5dc1287d77d01750,disjunctive,conjunctive,"[1, 2]","[1, 2]",5,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0, 0.0]",30.798,5,15
66311cdfdc6a541751ee782a,disjunctive,disjunctive,"[0, 1]","[0, 1]",8,"[0.32192809488736235, 0.2630344058337938, 0.15200309344505006, 0.36257007938470837, 0.22239242133644802, 2.584962500721156, 0.0, 0.0]",9.762,8,30
6636e5ffb1e341fa2390a2c0,conjunctive,conjunctive,"[2, 3]","[2, 3]",13,"[0.32192809488736235, 0.41503749927884376, 0.16992500144231237, 0.19264507794239583, 0.0, 0.0, 0.0, 0.0, 0.0, 2.807354922057604, 0.0, 0.0, 0.0, 0.0]",9.469,14,48
6637f53e203e2f5f706d70ec,conjunctive,conjunctive,"[1, 3]","[1, 3]",8,"[0.32192809488736235, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 0.16992500144231237, 0.19264507794239583, 0.22239242133644802, 2.584962500721156]",8.151,8,28
663911a7d0a58901bbe17704,conjunctive,conjunctive,"[2, 3]","[2, 3]",11,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.0, 0.15200309344505006, 0.16992500144231237, 0.19264507794239583, 2.807354922057604, 0.0, 0.0]",5.957,12,37
663a41265f6d1a3d681574c2,conjunctive,disjunctive,"[1, 3]",[3],3,"[0.9068905956085185, 1.0, 1.0]",16.106,3,16
66444fab51653be6d035845e,conjunctive,conjunctive,"[2, 3]","[2, 3]",4,"[0.32192809488736235, 2.0, 0.0, 0.5849625007211562, 1.0, 0.0]",7.058,6,16
66464711c6986686ce7a99ec,conjunctive,conjunctive,"[1, 3]","[1, 3]",11,"[0.32192809488736235, 0.41503749927884376, 0.0, 0.0, 0.0, 0.0, 0.5849625007211562, 0.0, 1.584962500721156, 1.0, 0.0]",9.323,11,31
664cfc36d05e1ed37dd9f91e,disjunctive,disjunctive,"[2, 3]","[2, 3]",3,"[2.321928094887362, 0.5849625007211562, 1.0]",7.305,3,13
664f96491b1f7c4bf98dfc87,conjunctive,conjunctive,"[2, 3]","[0, 1, 2, 3]",6,"[0.0, 0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502]",25.432,6,24
6655fd511b6c8d1fd05de12d,conjunctive,conjunctive,"[1, 3]","[1, 3]",9,"[0.32192809488736235, 1.0, 1.0, 0.5849625007211562, 0.0, 0.0, 1.0, 0.0, 0.0]",20.962,9,43
665a8db299aa3f8fb8ff8c4d,disjunctive,disjunctive,"[2, 3]","[2, 3]",7,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0]",4.813,7,25
66621dc2ec23614444716d2c,conjunctive,disjunctive,"[0, 1]",[],4,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882]",8.072,4,11
66736b0ac390b463a383ffc5,conjunctive,disjunctive,"[2, 3]","[1, 2, 3]",8,"[0.32192809488736235, 0.2630344058337938, 0.0, 0.0, 0.15200309344505006, 0.0, 0.0, 3.169925001442312, 0.0, 0.0, 0.0, 0.0]",16.539,12,34
6676ddf4aeae188a30f824f5,conjunctive,conjunctive,"[1, 3]","[1, 3]",7,"[0.09953567355091437, 0.22239242133644802, 0.5849625007211562, 0.0, 1.0, 1.0, 1.0, 0.0]",4.128,8,18
667984ded209db9088acaf30,disjunctive,disjunctive,"[0, 3]","[0, 3]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",5.741,4,9
667b4043a7f74c3ff540a60d,disjunctive,disjunctive,"[2, 3]","[2, 3]",4,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 1.0]",5.774,4,12
667d08e12ac1bcbdd829a936,conjunctive,disjunctive,"[0, 1]",[],4,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882]",3.43,4,11
6684bbcfad6facc374fd6523,disjunctive,disjunctive,"[0, 2]","[0, 2]",7,"[0.32192809488736235, 0.5849625007211562, 0.41503749927884376, 1.584962500721156, 0.0, 1.0, 0.0]",8.276,7,21
668ac4c1b3549e7f656154d4,disjunctive,disjunctive,"[0, 3]","[0, 3]",4,"[0.9068905956085185, 1.0, 1.0, 1.0]",4.154,4,12
669abec15946546f5a97a5ff,disjunctive,disjunctive,"[1, 2]","[1, 2]",4,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0]",5.816,4,11
669acab688899abf41e03bb5,conjunctive,conjunctive,"[0, 3]","[0, 3]",12,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.0, 0.5145731728297582, 1.222392421336448, 1.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0]",19.743,14,51
66ac6629c0da194f918ca3fb,conjunctive,conjunctive,"[0, 1]","[0, 1]",15,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.0,16,54
66ae0709d8dd8981a2d6ee04,disjunctive,disjunctive,"[1, 3]","[1, 3]",5,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 0.0, 1.0, 0.0]",16.773,6,20
66d327f02e9e567850b49aee,conjunctive,conjunctive,"[0, 3]","[0, 1, 2, 3]",3,"[0.9068905956085185, 0.19264507794239583, 0.0, 0.0, 0.0]",25.792,5,19
66de20cd48ec5f6eed0efb42,conjunctive,conjunctive,"[0, 1]","[0, 1]",6,"[0.0, 2.321928094887362, 0.5849625007211562, 0.0, 1.0, 0.0, 0.0, 0.0]",9.041,8,26
66df530525ff636218e380bf,conjunctive,conjunctive,"[0, 3]","[0, 3]",9,"[0.32192809488736235, 0.41503749927884376, 0.0, 0.16992500144231237, 0.19264507794239583, 0.48542682717024166, 0.32192809488736235, 1.0, 1.0]",8.024,9,29
66e0bc36ad31c37654af5fc8,disjunctive,disjunctive,"[0, 1]","[0, 1]",4,"[0.32192809488736235, 2.0, 0.5849625007211562, 1.0]",7.542,4,15
66e641a57e7f41866f9e705f,conjunctive,conjunctive,"[1, 3]","[1, 3]",8,"[0.32192809488736235, 2.0, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.63,12,34
66ee186efc9a208ef9446a30,disjunctive,disjunctive,"[0, 1]","[0, 1]",6,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0, 0.0]",4.856,6,20
67005512302c242e2c34d34d,conjunctive,conjunctive,"[0, 3]","[0, 3]",13,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.883,16,65
6722cf4c8679d8fe777e4364,conjunctive,conjunctive,"[0, 1]","[0, 1]",10,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.5145731728297582, 0.0, 1.222392421336448, 0.5849625007211562, 1.0, 0.0]",5.747,11,27
672cb8ccdb8232e7fee580ed,disjunctive,disjunctive,"[0, 2]","[0, 2]",5,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0]",7.31,5,21
672edcfc36facd5b8d65d53d,disjunctive,conjunctive,"[0, 3]","[0, 3]",5,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0]",3.968,5,13
673bf98fb59b6d9e50a9080c,conjunctive,disjunctive,"[0, 1]",[0],4,"[0.09953567355091437, 0.22239242133644802, 0.5849625007211562, 0.0]",6.693,4,8
67758b914f06b14a31669644,disjunctive,disjunctive,"[1, 3]","[1, 3]",4,"[0.32192809488736235, 1.584962500721156, 0.41503749927884376, 0.5849625007211562]",9.596,4,11
677816a3469477f7f02c31c8,disjunctive,disjunctive,"[2, 3]","[2, 3]",12,"[1.0995356735509143, 1.222392421336448, 0.5849625007211562, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.403,12,39
677a9ad8c567199c95f2dc4c,conjunctive,conjunctive,"[1, 2]","[0, 3]",1,[0.09953567355091437],13.86,1,2
678557116f825dad357b623c,disjunctive,disjunctive,"[0, 3]","[0, 3]",11,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.5145731728297582, 1.222392421336448, 1.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.565,16,41
67ab642b1885c553052f7e8a,conjunctive,disjunctive,"[1, 2]",[3],1,[0.32192809488736235],7.872,1,7
67c0af3cdbc67c93008f0616,disjunctive,disjunctive,"[1, 3]","[1, 3]",6,"[0.32192809488736235, 0.41503749927884376, 1.584962500721156, 0.0, 1.584962500721156, 0.0]",10.762,6,22
