Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69e006fffa24ad286591239e,6669049dd1b4821a8f23c04a,APPROVED,Not Applicable,2026-04-15T21:45:38.279000Z,2026-04-15T21:46:44.934000Z,2026-04-15T21:46:47.598000Z,2026-04-15T21:46:45.503837Z,67.0,C1C28QBX,461,English,28,Female,White,United States,United States,United States,English,No,Full-Time
69e007001bb1c8f2700cf56b,699fc622b54af00bf1380eba,APPROVED,Not Applicable,2026-04-15T21:45:57.864000Z,2026-04-15T21:47:12.196000Z,2026-04-15T21:47:12.830000Z,2026-04-15T21:47:12.772290Z,75.0,C1C28QBX,882,"Chinese, English",32,Male,Asian,United States,United States,United States,Chinese,No,Unemployed (and job seeking)
69e0070727f53fa33e77822e,5ef531ab358933164a2c0be5,APPROVED,Not Applicable,2026-04-15T21:45:46.021000Z,2026-04-15T21:46:53.956000Z,2026-04-15T21:46:54.552000Z,2026-04-15T21:46:54.511124Z,68.0,C1C28QBX,552,English,27,Female,White,United States,United States,United States,English,No,Full-Time
69e0070c17c18efff177433f,673ead8d8389b11c02a060e9,APPROVED,Not Applicable,2026-04-15T21:45:54.557000Z,2026-04-15T21:47:15.286000Z,2026-04-15T21:47:15.967000Z,2026-04-15T21:47:15.927737Z,81.0,C1C28QBX,4500,"English, Japanese",27,Male,Asian,United States,United States,United States,Japanese,No,Full-Time
69e0070dde9c4e0158bdbb85,699645b8e7a079585e734595,APPROVED,Not Applicable,2026-04-15T21:45:53.160000Z,2026-04-15T21:48:13.734000Z,2026-04-15T21:48:14.908000Z,2026-04-15T21:48:14.365891Z,141.0,C1C28QBX,265,English,23,Male,Mixed,United States,United States,United States,English,No,Part-Time
69e007178013d67bc8759cd7,68b87f72a4cd11b3e742a547,APPROVED,Not Applicable,2026-04-15T21:46:03.755000Z,2026-04-15T21:48:19.111000Z,2026-04-15T21:48:19.682000Z,2026-04-15T21:48:19.652259Z,136.0,C1C28QBX,491,English,25,Female,White,United States,United States,United States,English,No,Part-Time
69e0071fb4ae2c18f073b224,69dc27a56d66aa567003981b,APPROVED,Not Applicable,2026-04-15T21:46:10.625000Z,2026-04-15T21:48:08.891000Z,2026-04-15T21:48:09.478000Z,2026-04-15T21:48:09.459272Z,119.0,C1C28QBX,26,English,27,Female,White,United States,United States,United States,English,No,Full-Time
69e0072f07987a267cae0eba,69dfca6fe751b64c73aeac08,APPROVED,Not Applicable,2026-04-15T21:46:33.943000Z,2026-04-15T21:50:22.336000Z,2026-04-15T21:50:22.933000Z,2026-04-15T21:50:22.854267Z,229.0,C1C28QBX,13,English,24,Female,Asian,United States,United States,DATA_EXPIRED,English,Yes,Part-Time
69e0073e155a7aec36ea67ab,69150c3790edcc1addc3c30e,APPROVED,Not Applicable,2026-04-15T21:46:38.325000Z,2026-04-15T21:48:10.562000Z,2026-04-15T21:48:11.107000Z,2026-04-15T21:48:11.055893Z,93.0,C1C28QBX,1924,English,26,Female,Asian,Canada,United States,United States,English,No,Full-Time
69e0076b5382bb79500a6745,66dceb449e0e3f3b1f239b3b,APPROVED,Not Applicable,2026-04-15T21:47:25.836000Z,2026-04-15T21:48:48.549000Z,2026-04-15T21:48:50.046000Z,2026-04-15T21:48:49.985831Z,83.0,C1C28QBX,2572,English,29,Male,White,United States,United States,United States,English,No,Full-Time
69e0076d79abad8ea7124b47,69b43d8d48ba55adc970bdc9,APPROVED,Not Applicable,2026-04-15T21:47:29.142000Z,2026-04-15T21:50:35.630000Z,2026-04-15T21:50:36.164000Z,2026-04-15T21:50:36.139140Z,187.0,C1C28QBX,358,English,25,Male,White,United States,United States,United States,English,No,Part-Time
69e0077c850bb849403a5391,69d5801af14cddbf0b60b59d,APPROVED,Not Applicable,2026-04-15T21:47:44.135000Z,2026-04-15T21:49:20.681000Z,2026-04-15T21:49:21.187000Z,2026-04-15T21:49:21.131820Z,97.0,C1C28QBX,210,English,25,Male,White,United States,United States,United States,English,No,Full-Time
69e0077df954d0bae3785768,6684abc04d60b2e05eb8ed2b,APPROVED,Not Applicable,2026-04-15T21:47:44.666000Z,2026-04-15T21:49:36.041000Z,2026-04-15T21:49:36.819000Z,2026-04-15T21:49:36.780160Z,112.0,C1C28QBX,3602,"English, Spanish",31,Female,Mixed,United States,United States,United States,English,No,Part-Time
69e0077f2bda84acd2027ff9,6994e4cb0f3e1655a5eb7978,APPROVED,Not Applicable,2026-04-15T21:50:06.559000Z,2026-04-15T21:51:47.129000Z,2026-04-15T21:51:47.716000Z,2026-04-15T21:51:47.646698Z,101.0,C1C28QBX,1309,English,32,Female,White,United States,United States,United States,English,No,Full-Time
69e007857ade08da61a8b8ce,66465bc3e981d84abaedde48,APPROVED,Not Applicable,2026-04-15T21:47:54.335000Z,2026-04-15T21:50:00.138000Z,2026-04-15T21:50:00.983000Z,2026-04-15T21:50:00.935796Z,126.0,C1C28QBX,585,English,35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69e007908bfd5d53879debba,69d32b5b2e32bf5ec5607f50,APPROVED,Not Applicable,2026-04-15T21:48:03.001000Z,2026-04-15T21:49:11.337000Z,2026-04-15T21:49:11.888000Z,2026-04-15T21:49:11.849879Z,69.0,C1C28QBX,40,English,30,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69e00791b5dea18d0ac369ea,650b03136ab3d4c832d98b71,APPROVED,Not Applicable,2026-04-15T21:48:04.261000Z,2026-04-15T21:50:56.524000Z,2026-04-15T21:50:57.117000Z,2026-04-15T21:50:57.002614Z,173.0,C1C28QBX,19003,"Hebrew, English, Russian",32,Male,Other,Israel,United States,United States,Hebrew,No,Part-Time
69e0079a334f5593780a6790,69bdd9c01353d737b5014313,APPROVED,Not Applicable,2026-04-15T21:50:08.887000Z,2026-04-15T21:52:44.968000Z,2026-04-15T21:52:45.528000Z,2026-04-15T21:52:45.478075Z,157.0,C1C28QBX,794,English,29,Female,Asian,China,United States,United States,Mandarin,No,Part-Time
69e007a3eaae2cba31c60978,69a7d145f4bb45a0d4819181,APPROVED,Not Applicable,2026-04-15T21:48:22.134000Z,2026-04-15T21:51:20.600000Z,2026-04-15T21:51:21.167000Z,2026-04-15T21:51:21.109482Z,179.0,C1C28QBX,357,English,29,Female,Asian,Philippines,United States,Philippines,Tagalog-Filipino,No,Unemployed (and job seeking)
69e007a8ab2a46e5a6eefdda,697e5950e2db3c312b6b9236,APPROVED,Not Applicable,2026-04-15T21:48:28.855000Z,2026-04-15T21:50:05.364000Z,2026-04-15T21:50:05.919000Z,2026-04-15T21:50:05.861581Z,97.0,C1C28QBX,453,English,27,Male,Prefer not to say,United States,United States,DATA_EXPIRED,English,No,Part-Time
69e007ac386770ac57101493,5a24bcab681a240001ff42de,APPROVED,Not Applicable,2026-04-15T21:48:33.232000Z,2026-04-15T21:50:06.072000Z,2026-04-15T21:50:06.572000Z,2026-04-15T21:50:06.518289Z,93.0,C1C28QBX,3466,English,27,Female,White,United States,United States,United States,English,No,Full-Time
69e008084f86ae5b6218bf15,5fa2b9a3c1d67f3a311db672,APPROVED,Not Applicable,2026-04-15T21:50:04.869000Z,2026-04-15T21:51:10.484000Z,2026-04-15T21:51:11.095000Z,2026-04-15T21:51:11.024049Z,66.0,C1C28QBX,6954,English,28,Female,White,United States,United States,United States,English,No,Full-Time
69e0081140bec4b992d9be5d,6108781e0d1dd936d2b75432,APPROVED,Not Applicable,2026-04-15T21:50:12.614000Z,2026-04-15T21:51:48.644000Z,2026-04-15T21:51:49.227000Z,2026-04-15T21:51:49.190501Z,97.0,C1C28QBX,7036,English,35,Female,White,United States,United States,United States,English,No,Other
69e00817a131c5543ba4bde7,60919c8f1b024991374cfb2d,APPROVED,Not Applicable,2026-04-15T21:50:23.811000Z,2026-04-15T21:52:14.558000Z,2026-04-15T21:52:15.123000Z,2026-04-15T21:52:15.058133Z,111.0,C1C28QBX,9457,English,27,Female,White,United States,United States,United States,English,No,Part-Time
69e008186a5b1ed44819b08d,5b11afecc85dc40001621432,APPROVED,Not Applicable,2026-04-15T21:55:54.521000Z,2026-04-15T21:57:08.520000Z,2026-04-15T21:57:09.052000Z,2026-04-15T21:57:08.998656Z,74.0,C1C28QBX,4759,English,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69e00843b858641ea8cadefe,6308c7c633514099aebd6ecf,APPROVED,Not Applicable,2026-04-15T21:51:03.077000Z,2026-04-15T21:52:24.047000Z,2026-04-15T21:52:24.583000Z,2026-04-15T21:52:24.510482Z,81.0,C1C28QBX,2869,English,33,Male,Other,Dominican Republic,United States,Dominican Republic,English,No,Unemployed (and job seeking)
69e008857b98281b302d350f,69c55a7b5b6813e6e66e39fc,APPROVED,Not Applicable,2026-04-15T21:52:08.254000Z,2026-04-15T21:53:25.533000Z,2026-04-15T21:53:26.125000Z,2026-04-15T21:53:26.100080Z,78.0,C1C28QBX,664,English,29,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
69e0088c9c56fa6d50774f13,69dc54c0990131b595bb382a,AWAITING REVIEW,Not Applicable,2026-04-15T21:52:15.949000Z,2026-04-15T21:53:33.872000Z,,2026-04-15T21:53:34.334737Z,78.0,C1C28QBX,1,English,23,Female,White,United States,United States,DATA_EXPIRED,English,No,Part-Time
69e008960c70b4453478640a,69b180426096d1ccdde605a2,APPROVED,Not Applicable,2026-04-15T21:52:28.326000Z,2026-04-15T21:53:57.504000Z,2026-04-15T21:53:58.093000Z,2026-04-15T21:53:58.033219Z,90.0,C1C28QBX,81,English,33,Male,White,United States,United States,United States,English,No,Full-Time
69e008fb8ef10ea7d0df5665,698651b5bbcfef723824cb98,APPROVED,Not Applicable,2026-04-15T21:54:59.239000Z,2026-04-15T21:56:56.877000Z,2026-04-15T21:56:57.479000Z,2026-04-15T21:56:57.417792Z,118.0,C1C28QBX,1726,English,30,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
69e00987ef388713fd6e9268,69cea0ac61a4f06eb99076a6,APPROVED,Not Applicable,2026-04-15T21:56:46.899000Z,2026-04-15T22:01:40.370000Z,2026-04-15T22:01:40.872000Z,2026-04-15T22:01:40.822530Z,294.0,C1C28QBX,64,English,32,Male,Black,United States,United States,United States,English,Yes,Part-Time
69e00993139a301e7dd9babb,67ac2151e5b37e0b91a5af0e,APPROVED,Not Applicable,2026-04-15T21:56:39.273000Z,2026-04-15T21:58:06.102000Z,2026-04-15T21:58:06.660000Z,2026-04-15T21:58:06.632930Z,87.0,C1C28QBX,3816,English,35,Female,White,United States,United States,United States,English,No,Part-Time
69e00a61de2b8ca1e7b1330d,65cb86a7e667e637599a3af3,APPROVED,Not Applicable,2026-04-15T22:00:07.043000Z,2026-04-15T22:02:53.271000Z,2026-04-15T22:02:53.793000Z,2026-04-15T22:02:53.753249Z,167.0,C1C28QBX,4732,"Tagalog-Filipino, English",27,Female,Asian,Philippines,United States,Philippines,Tagalog-Filipino,No,Full-Time
69e00a7bc5b9e615289a0d16,67a517b3ce9ad5ca6839e028,APPROVED,Not Applicable,2026-04-15T22:00:32.318000Z,2026-04-15T22:05:03.255000Z,2026-04-15T22:05:03.826000Z,2026-04-15T22:05:03.770150Z,271.0,C1C28QBX,1165,English,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69e00aca8cfb672394fe5170,69b8762839c7c5f0345ac67a,APPROVED,Not Applicable,2026-04-15T22:02:00.147000Z,2026-04-15T22:07:17.947000Z,2026-04-15T22:07:19.120000Z,2026-04-15T22:07:18.466416Z,318.0,C1C28QBX,398,English,29,Female,Black,United States,United States,United States,English,No,Part-Time
69e00ace1b296bae35bce040,69c00f438bdb72f67d502363,APPROVED,Not Applicable,2026-04-15T22:02:37.818000Z,2026-04-15T22:13:36.422000Z,2026-04-15T22:13:36.951000Z,2026-04-15T22:13:36.899299Z,659.0,C1C28QBX,276,"English, Swahili",28,Male,Black,Kenya,United States,United States,English,Yes,Part-Time
69e00adb3e4a2809f5db9f27,69c41799dfcdff198b56a122,APPROVED,Not Applicable,2026-04-15T22:02:10.790000Z,2026-04-15T22:04:25.012000Z,2026-04-15T22:04:25.540000Z,2026-04-15T22:04:25.473828Z,135.0,C1C28QBX,86,English,35,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69e00af969474a2f97dd4197,69dd1b1450426eeb0f9526aa,APPROVED,Not Applicable,2026-04-15T22:02:37.973000Z,2026-04-15T22:05:25.926000Z,2026-04-15T22:05:26.575000Z,2026-04-15T22:05:26.523708Z,168.0,C1C28QBX,40,English,28,Female,White,United States,United States,United Kingdom,English,DATA_EXPIRED,Unemployed (and job seeking)
69e00b5c5e0c78ab1634d292,69432f5eec27bf29567095f7,AWAITING REVIEW,Not Applicable,2026-04-15T22:04:14.371000Z,2026-04-15T22:05:12.054000Z,,2026-04-15T22:05:12.470143Z,58.0,C1C28QBX,1672,English,28,Male,White,United States,United States,United States,English,No,Part-Time
69e00b621ea5b4a41fe291c5,5e39a13ba532a30419772ab7,AWAITING REVIEW,Not Applicable,2026-04-15T22:04:26.635000Z,2026-04-15T22:05:23.933000Z,,2026-04-15T22:05:24.419717Z,58.0,C1C28QBX,1406,English,34,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69e00b90ebc548a026dbe259,69a1a6245c60b6a02fc72573,APPROVED,Not Applicable,2026-04-15T22:07:46.818000Z,2026-04-15T22:18:12.981000Z,2026-04-15T22:18:13.822000Z,2026-04-15T22:18:13.718079Z,627.0,C1C28QBX,561,"English, Vietnamese",24,Female,Asian,United States,United States,United States,English,Yes,Part-Time
69e00bbf5c169b4cd18e3c45,69b4bd40f97c2856be0eada4,APPROVED,Not Applicable,2026-04-15T22:05:53.787000Z,2026-04-15T22:07:42.749000Z,2026-04-15T22:07:43.444000Z,2026-04-15T22:07:43.378664Z,109.0,C1C28QBX,82,English,24,Male,Asian,Korea,United States,United States,English,No,Full-Time
69e00cc35ab40e98b689d537,698c1e0136e0c3b82a9c9a59,APPROVED,Not Applicable,2026-04-15T22:10:16.754000Z,2026-04-15T22:16:11.383000Z,2026-04-15T22:16:11.927000Z,2026-04-15T22:16:11.880242Z,355.0,C1C28QBX,633,"English, French",32,Male,Black,United States,United States,United States,English,No,Part-Time
69e00cf833309ef041b4fb11,69dc2d7ebf05ef7e2ca0f1c5,APPROVED,Not Applicable,2026-04-15T22:11:08.085000Z,2026-04-15T22:12:14.796000Z,2026-04-15T22:12:18.443000Z,2026-04-15T22:12:15.344178Z,67.0,C1C28QBX,16,English,25,Female,Asian,United States,United States,United States,English,No,Full-Time
69e00d366f55a9bccfa4bdc3,69d0b621cd3c081b61e34949,APPROVED,Not Applicable,2026-04-15T22:12:08.477000Z,2026-04-15T22:13:15.552000Z,2026-04-15T22:13:16.142000Z,2026-04-15T22:13:16.106525Z,68.0,C1C28QBX,140,English,25,Male,White,United States,United States,United States,English,No,Other
69e00d37ab9dc5fd55b7a892,62fc68b4f44b013950b67b11,APPROVED,Not Applicable,2026-04-15T22:12:10.709000Z,2026-04-15T22:13:45.784000Z,2026-04-15T22:13:46.364000Z,2026-04-15T22:13:46.278030Z,96.0,C1C28QBX,5247,English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69e00ebf0399b425bc4a1960,69ca21e8059ce6bee25c12ef,APPROVED,Not Applicable,2026-04-15T22:18:44.009000Z,2026-04-15T22:20:22.124000Z,2026-04-15T22:20:22.935000Z,2026-04-15T22:20:22.859000Z,99.0,C1C28QBX,324,"Spanish, English",35,Male,White,United States,United States,United States,English,No,Full-Time
69e0101b824b124d4d112481,5cefb763672ef40001f3a364,APPROVED,Not Applicable,2026-04-15T22:24:31.048000Z,2026-04-15T22:25:42.245000Z,2026-04-15T22:25:54.771000Z,2026-04-15T22:25:42.746609Z,72.0,C1C28QBX,1564,English,34,Male,White,United States,United States,United States,English,No,Full-Time
69e01097c1baf8a9664a71fd,66d0e8813c0a69291c362cba,APPROVED,Not Applicable,2026-04-15T22:26:50.467000Z,2026-04-15T22:28:08.968000Z,2026-04-15T22:28:25.962000Z,2026-04-15T22:28:09.417052Z,79.0,C1C28QBX,5552,English,24,Male,Mixed,United States,United States,United States,English,No,Full-Time
69e01207978cc50d11faa950,65d6a09286a0c99e632a46dd,APPROVED,Not Applicable,2026-04-15T22:32:42.025000Z,2026-04-15T22:33:52.372000Z,2026-04-15T22:33:53.439000Z,2026-04-15T22:33:52.940827Z,71.0,C1C28QBX,2785,English,23,Male,White,United States,United States,United States,English,No,Full-Time
69e0179ef67f1c2905896d3c,62e174454a461d00781acfe1,APPROVED,Not Applicable,2026-04-15T22:56:34.093000Z,2026-04-15T22:59:40.374000Z,2026-04-15T22:59:41.172000Z,2026-04-15T22:59:41.083286Z,187.0,C1C28QBX,4468,"English, Spanish",27,Female,Other,Mexico,United States,United States,Spanish,No,Full-Time
